Loaded file data/german_print_dict/ZfN_50E_v1.lstm, unpacking...
Warning: LSTMTrainer deserialized an LSTMRecognizer!
Code range changed from 419 to 428!
Num (Extended) outputs,weights in Series:
  1,36,0,1:1, 0
Num (Extended) outputs,weights in Series:
  C3,3:9, 0
  Ft16:16, 160
Total weights = 160
  [C3,3Ft16]:16, 160
  Mp3,3:16, 0
  TxyLfys48:48, 12480
  Lfx96:96, 55680
  RxLrx96:96, 74112
  Lfx192:192, 221952
  Fc428:428, 82604
Total weights = 446988
Previous null char=418 mapped to 427
Continuing from data/german_print_dict/ZfN_50E_v1.lstm
2 Percent improvement time=30, best error was 100 @ 0
At iteration 3002/11200/11200, mean rms=0.254%, delta=1.122%, BCER train=3.381%, BWER train=8.173%, skip ratio=0.000%, New worst BCER = 3.381 wrote checkpoint.
At iteration 3027/11300/11300, mean rms=0.251%, delta=1.055%, BCER train=3.261%, BWER train=7.775%, skip ratio=0.000%, New worst BCER = 3.261 wrote checkpoint.
At iteration 3059/11400/11400, mean rms=0.270%, delta=1.302%, BCER train=3.661%, BWER train=8.368%, skip ratio=0.000%, New worst BCER = 3.661 wrote checkpoint.
At iteration 3081/11500/11500, mean rms=0.265%, delta=1.251%, BCER train=3.555%, BWER train=7.833%, skip ratio=0.000%, New worst BCER = 3.555 wrote checkpoint.
At iteration 3110/11600/11600, mean rms=0.266%, delta=1.221%, BCER train=3.613%, BWER train=7.877%, skip ratio=0.000%, New worst BCER = 3.613 wrote checkpoint.
At iteration 3131/11700/11700, mean rms=0.264%, delta=1.199%, BCER train=3.546%, BWER train=7.733%, skip ratio=0.000%, New worst BCER = 3.546 wrote checkpoint.
At iteration 3158/11800/11800, mean rms=0.274%, delta=1.363%, BCER train=3.779%, BWER train=8.149%, skip ratio=0.000%, New worst BCER = 3.779 wrote checkpoint.
At iteration 3182/11900/11900, mean rms=0.273%, delta=1.381%, BCER train=3.735%, BWER train=8.095%, skip ratio=0.000%, New worst BCER = 3.735 wrote checkpoint.
At iteration 3206/12000/12000, mean rms=0.274%, delta=1.393%, BCER train=3.720%, BWER train=7.828%, skip ratio=0.000%, New worst BCER = 3.720 wrote checkpoint.
At iteration 3228/12100/12100, mean rms=0.268%, delta=1.320%, BCER train=3.490%, BWER train=7.345%, skip ratio=0.000%, New worst BCER = 3.490 wrote checkpoint.
At iteration 3248/12200/12200, mean rms=0.264%, delta=1.299%, BCER train=3.602%, BWER train=7.382%, skip ratio=0.000%, New worst BCER = 3.602 wrote checkpoint.
At iteration 3270/12300/12300, mean rms=0.259%, delta=1.278%, BCER train=3.486%, BWER train=7.199%, skip ratio=0.000%, New worst BCER = 3.486 wrote checkpoint.
At iteration 3288/12400/12400, mean rms=0.245%, delta=1.054%, BCER train=3.214%, BWER train=6.632%, skip ratio=0.000%, New worst BCER = 3.214 wrote checkpoint.
At iteration 3306/12500/12500, mean rms=0.240%, delta=1.033%, BCER train=3.135%, BWER train=6.421%, skip ratio=0.000%, New worst BCER = 3.135 wrote checkpoint.
At iteration 3333/12600/12600, mean rms=0.240%, delta=1.005%, BCER train=3.105%, BWER train=6.384%, skip ratio=0.000%, New worst BCER = 3.105 wrote checkpoint.
At iteration 3362/12700/12700, mean rms=0.244%, delta=1.030%, BCER train=3.127%, BWER train=6.551%, skip ratio=0.000%, New worst BCER = 3.127 wrote checkpoint.
At iteration 3387/12800/12800, mean rms=0.230%, delta=0.803%, BCER train=2.753%, BWER train=5.981%, skip ratio=0.000%, New worst BCER = 2.753 wrote checkpoint.
At iteration 3405/12900/12900, mean rms=0.222%, delta=0.724%, BCER train=2.518%, BWER train=5.559%, skip ratio=0.000%, New worst BCER = 2.518 wrote checkpoint.
At iteration 3430/13000/13000, mean rms=0.227%, delta=0.888%, BCER train=2.506%, BWER train=5.799%, skip ratio=0.000%, New worst BCER = 2.506 wrote checkpoint.
At iteration 3456/13100/13100, mean rms=0.231%, delta=0.908%, BCER train=2.594%, BWER train=6.100%, skip ratio=0.000%, New worst BCER = 2.594 wrote checkpoint.
At iteration 3479/13200/13200, mean rms=0.232%, delta=0.935%, BCER train=2.524%, BWER train=6.215%, skip ratio=0.000%, New worst BCER = 2.524 wrote checkpoint.
At iteration 3498/13300/13300, mean rms=0.230%, delta=0.927%, BCER train=2.477%, BWER train=6.136%, skip ratio=0.000%, New worst BCER = 2.477 wrote checkpoint.
2 Percent improvement time=3520, best error was 100 @ 0
At iteration 3520/13400/13400, mean rms=0.228%, delta=0.918%, BCER train=2.378%, BWER train=6.115%, skip ratio=0.000%, New best BCER = 2.378 wrote checkpoint.
2 Percent improvement time=3537, best error was 100 @ 0
At iteration 3537/13500/13500, mean rms=0.227%, delta=0.896%, BCER train=2.335%, BWER train=6.139%, skip ratio=0.000%, New best BCER = 2.335 wrote checkpoint.
2 Percent improvement time=3556, best error was 100 @ 0
At iteration 3556/13600/13600, mean rms=0.221%, delta=0.859%, BCER train=2.239%, BWER train=5.870%, skip ratio=0.000%, New best BCER = 2.239 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_2.239_3556_13600.checkpoint wrote checkpoint.
2 Percent improvement time=3582, best error was 100 @ 0
At iteration 3582/13700/13700, mean rms=0.220%, delta=0.837%, BCER train=2.230%, BWER train=5.963%, skip ratio=0.000%, New best BCER = 2.230 wrote checkpoint.
At iteration 3604/13800/13800, mean rms=0.221%, delta=0.840%, BCER train=2.263%, BWER train=6.069%, skip ratio=0.000%, New worst BCER = 2.263 wrote checkpoint.
At iteration 3622/13900/13900, mean rms=0.221%, delta=0.845%, BCER train=2.300%, BWER train=6.136%, skip ratio=0.000%, New worst BCER = 2.300 wrote checkpoint.
2 Percent improvement time=3642, best error was 100 @ 0
At iteration 3642/14000/14000, mean rms=0.212%, delta=0.647%, BCER train=2.208%, BWER train=5.884%, skip ratio=0.000%, New best BCER = 2.208 wrote checkpoint.
At iteration 3665/14100/14100, mean rms=0.211%, delta=0.637%, BCER train=2.302%, BWER train=6.056%, skip ratio=0.000%, New worst BCER = 2.302 wrote checkpoint.
